,Title,Abstract,Activity Code,Admin IC,Admin IC Long,Funding ICs,Agency,Appl Class Code,Appl Status Code,Appl Type Code,Active,Award Status,Appl ID,Grant Number,Full Grant Number,Serial Number,Suffix Code,Sub Project ID,Fiscal Year,Support Year,Record Index,toCurate2,isRemote,isDataGath,isIntervent,isClin,isRnD,isWear,isTele,isMobile,isHome
0,GamerFit: A Digital Intervention to Improve Physical Activity and Sleep Behaviors in Youth with Psychiatric Diagnoses,"More than 1 in 4 children receive at least one psychiatric diagnosis (PD) before age 17. These youth face significantly elevated chronic disease risk including high prevalence of obesity, which is propelled by low physical activity (PA) levels, poor sleep, and social isolation. Unhealthy PA and sleep behaviors not only increase preventable chronic disease risks, they also worsen the cognitive and behavioral functioning challenges these youth experience. The goal of ""GamerFit"" is to test the delivery of a theory-based mHealth app that utilizes social support, exergaming, and telehealth coaching to improve PA levels, sleep, and psychiatric symptoms among youth participants (ages 14-17 y) with PD. In order to aid future intervention optimization, we will randomize 60 participants with at least one PD, with 30 using the GamerFit app with weekly telehealth coaching sessions and 30 using a commercial healthy habits app as a comparator group. The GamerFit app will provide access to a menu of exergames, progressive PA and sleep plan, integrated self- monitoring, pre-recorded videos addressing healthy PA and sleep habits, and motivational text messages to help users meet PA and sleep guidelines over 12 weeks. The project leverages our pilot data on exergaming and telehealth coaching to improve PA in youth with PD, and our interdisciplinary team has expertise in developmental psychology, PA and sleep intervention design, technology-based health promotion, and app development. The major research question is: Is a 12-week exergaming and telehealth coaching intervention, delivered via a smartphone app, an acceptable, feasible and effective method to improve PA and sleep behaviors in youth with PD? The specific aims are as follows: Specific Aim 1: To examine feasibility and acceptability of the 12-week GamerFit intervention delivered through a mobile app to youth with PD and their parents. Specific Aim 2: To test the hypothesis that the 12-week GamerFit intervention delivered through a mobile app will improve PA levels and sleep quality and duration compared to a comparator group that uses an unstructured healthy habits tracking app. Exploratory Aims: To test the hypothesis that the 12-week GamerFit intervention delivered through a mobile app will improve mood, behavioral regulation, and perceived social isolation and support compared to the comparator group; and to test the hypothesis that behavioral effects will be sustained at week 16 (i.e. 4-weeks after the end of the intervention). We will also work with clinicians to explore approaches to incorporating the app, specifically PA prescriptions, into psychiatric treatment plans. This project impacts the field by testing the delivery of a theory- and evidence-based exergaming and telehealth coaching intervention targeting multiple health behaviors in youth with PD via a low-cost app.",R21,HD,NICHD,HD,National Institutes of Health (NIH),G,5,1,No,Awarded,10450375,R21HD106465,R21HD106465-01A1,106465,A1,,2022,1,1,,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1,Impact of Physical Activity Routines and Dietary Intake on the Longitudinal Symptom Experience of the people living with HIV (PROSPER-HIV),"People living with HIV (PLHIV) experience a disproportionately high symptom burden (e.g., fatigue, insomnia, pain) with few treatment options. These symptoms are frequent, distressing, often co-occur, and have significant consequences on the health and well-being of PLHIV, yet we know almost nothing about how to effectively mitigate them. Non-pharmacological treatment options are highly desirable for symptom management among PLHIV who already experience a high pill burden from multiple comorbid diseases. Our team previously reported that physical activity and better nutrition were associated with lower symptom intensity in PLHIV; but a clearer understanding of the effects of physical activity and diet is required to determine how these approaches can reduce symptom distress in this population. Building on these data, this project proposes to examine the effect of two promising non-pharmacological strategies, Physical Activity Routines And Dietary Intake, on the longitudinal Symptom Experience of PLHIV (PARADISE-HIV). The PARADISE-HIV study is an observational, longitudinal study that will utilize the substantial infrastructure of the Centers for AIDS Research (CFAR) Network of Integrated Clinical Systems (CNICS) to examine physical activity and dietary patterns and symptom burden of 850 PLHIV over four years. This study will occur in four demographically diverse HIV clinics [Case Western Reserve University (Cleveland, Ohio), University of Alabama at Birmingham (Birmingham, Alabama), University of Washington (Seattle, Washington) and Fenway Health Institute (Boston, Massachusetts)]. PARADISE-HIV will overcome the limitations of previous studies by 1) enrolling a large, demographically and geographically diverse, clinic-based sample of PLHIV, 2) examining the relationship between physical activity, dietary intake and symptom burden over time, and 3) using prospective, gold-standard measures of physical activity (i.e., triaxial accelerometry) and dietary intake (i.e., 24-hour diet recalls). Anthropomorphic and physical fitness factors will be assessed as potential mediators of physical activity and dietary intake on symptom burden and intensity. When our aims are accomplished we will have precise, definitive, high-quality data describing the impact of physical activity and diet on symptoms in PLHIV. These data can be used clinically to provide feedback to HIV health care providers on the physical activity and dietary intake of their patients. The PARADISE-HIV study will also have a significant scientific impact and will inform the next phase of this program of research. These findings will be used to develop an individually-targeted, clinic-based intervention to improve physical activity and dietary intake that will eventually reduce symptoms among PLHIV. They will also be used to examine biological and clinical mechanisms that lead to the prevalent unremitting symptoms experienced by PLHIV. Thus, the proposed study is likely to stimulate novel research that will have a long-term impact on the health and quality of life of PLHIV.",R01,NR,NINR,NR,National Institutes of Health (NIH),G,5,1,No,Awarded,9694958,R01NR018391,R01NR018391-01,18391,,,2018,1,1,,FALSE,TRUE,FALSE,,,,,,
3,Pediatric Asthma Disparities: The Role of Sleep and Immune Balance,"This K24 application proposes a mentorship program in patient-oriented research in multi-level contributors to pediatric asthma health disparities, wih a focus on sleep and immune balance. The K24 Candidate is an Associate Professor (Research) in the Department of Psychiatry and Human Behavior of the Warren Alpert Medical School at Brown University, with a history of funding in behavioral interventions and longitudinal research aimed at improving asthma outcomes in urban children and addressing health disparities in pediatric asthma. Training Plan: The candidate will obtain additional training in asthma clinical immunology and sleep physiology, including state-of the art methods to assess immune biomarkers relevant to asthma and sleep, and in-lab methods to assess sleep phenomenology through experimental approaches. Research Plan: The research proposed involves an innovative investigation of the effects of experimental sleep disruption on immune balance (Th1/Th2 cytokine ratio-Th1/Th2R; plasma IL-6 -pIL-6), and associated changes in asthma- related lung function (FEV1 by spirometry) and daytime performance in urban children with persistent asthma (8-10 years old). Forty children and their primary caregiver will each participate in a within-subjects protocol, with two experimental sleep conditions: baseline sleep (1 overnight, in-lab polysomnographic (PSG) sleep study), followed by sleep fragmentation (1 overnight, in-lab PSG). Prior to each condition, children will follow a 6-day sleep stabilization schedule at home. We will monitor sleep and lung function (FEV1 by spirometry) daily to confirm eligibility and adherence to sleep criteria, and assess asthma status. We include assessments of immune biomarkers and daytime performance following each condition. Results from this study ultimately will support the development of asthma and sleep interventions for urban and ethnically diverse children. Our data will elucidate how immune biomarkers relevant to asthma and sleep operate in relation to sleep disruption, and clinical indicators of worsening asthma (lung function), to identify those most at risk, prioritize intervention targets, and improve treatment response. Mentoring Plan: The proposed mentoring plan offers opportunities for mentorship of postdoctoral fellows, residents and junior faculty with interests in POR. Mentees will be involved in ongoing longitudinal and intervention studies on pediatric asthma disparities, including the proposed research, which will focus on biological-based processes that contribute to asthma and sleep in urban children. A strong emphasis is placed on the recruitment and selection of minority mentees. This overall plan capitalizes on the rich resources and training opportunities available to postdoctoral fellows, residents and junior faculty at Brown Medical School, including several T32 fellowship programs, numerous junior faculty with K awards and small grants, a commitment to diversity in training, seminars in research design, ethics, and statistics, and an established infrastructure for evaluation.",K24,HL,NHLBI,HL,National Institutes of Health (NIH),G,5,1,No,Awarded,9012263,K24HL130451,K24HL130451-01,130451,,,2016,1,2,,,,,,,,,,
30,Using supportive text messages to improve outcomes for adolescents in alcohol and other drug treatment,"Alcohol and other drug (AOD) misuse is a major health and safety problem that most commonly begins during adolescence. AOD use during adolescence can lead to many short- and long-term negative consequences including altered academic and employment trajectories, incarceration, susceptibility to future drug problems, cortical damage, and impaired adult cognitive functioning. Relapse prevention is currently the standard treatment for adolescent AOD users who have chosen abstinence. Reminders of one's commitment to abstinence, such as alarm clocks and calendars, can serve as support mechanisms for relapse prevention. With the advent of newer technology (e.g., smart-phones), the potential arises to update these reminder mechanisms. Because adolescents are often first adopters of new technology, new reminder methods may be particularly effective with them. Research on applying technology to substance abuse treatment has focused on the effect of text-message interventions for individuals not seeking treatment. We are aware of no studies investigating the effect of texting as a support mechanism for substance abuse relapse prevention. The current study proposes to apply text messages as a supportive reminder and adjunct to substance abuse counseling with adolescents. Three groups (N = 150) will be compared: a group of youth who self-select their messages (N = 50), a yoked group who are assigned messages (N = 50), and a treatment as usual control condition (N = 50). Messages will be sent in a random order and at randomized time intervals for four weeks. Data collected through this study will examine the impact of text message content on relapse rates. Data also will be gathered to measure the impact of the messages on self-efficacy and receptivity of youth to these messages. These data will provide preliminary findings necessary for continued research on the utility of technology in clinical practice and provide training to a promising young researcher.",F31,AA,NIAAA,AA,National Institutes of Health (NIH),G,6,1,No,Awarded,9256787,F31AA025531,F31AA025531-01,25531,,,2016,1,18,Chris,,,,,,TRUE,FALSE,FALSE,FALSE
45,Randomized study of daytime vs. delayed eating: Effect on weight and metabolism,"Of the many factors contributing to the obesity epidemic, timing of food consumption is now recognized for its significant contribution to body weight regulation. Disruption of sleep-wake cycles from a predominantly diurnal lifestyle to a nocturnal lifestyle leads to abnormal circadian rhythms and metabolic dysfunction. We have also reported that night eating syndrome, characterized by a delayed pattern of eating, is associated with weight gain and disruption of neuroendocrine rhythms without sleep-wake cycle changes. Studies in night- active rodents have shown that restriction of feeding to the light period leads t profound changes in the circadian rhythms of leptin, insulin, corticosterone, and thyroxine, and a propensity toward obesity, insulin resistance, and hyperlipidemia. However, the metabolic effects of a predominantly daytime versus delayed eating pattern, using an experimental design, have not been well studied in humans. We hypothesize that a delayed pattern of eating, while keeping sleep-wake and activity levels constant, will produce an increase in weight and an abnormal metabolic response in healthy patients. A total of 20 healthy men and women with a BMI of 20 - 27 kg/m2 will be recruited for a randomized cross-over experiment testing two eating conditions. The first condition, daytime eating, would consist of three meals and two snacks to be consumed between 0800 h and 1800 h. The second condition, delayed eating, would consist of three meals and two snacks consumed between 1200 h and 2200 h. Energy and macronutrient content will be comparable between these eating conditions, and sleep-wake period would be held constant between 2300 h and 0700 h. Voluntary exercise will be held constant between conditions. Each participant would be free-living and supplied food from our metabolic kitchen for two months for the first condition, followed by a two-week wash out period eating as they usually would, followed by two months on the second condition (order randomly assigned). Adherence to the protocol will be monitored closely with food logs, pre- and post- weighing of food, use of pictures sent via electronic devices for portion size assessment, actigraphy, and self- reports for sleep-wake and physical activity monitoring. The assessment battery will occur at four points: 1) baseline; 2) after the first 2-mo eating condition; 3) after he 2-wk washout, before starting the second eating condition; and 4) after the second 2-mo eating condition. At each point body composition will be measured with DEXA and indirect calorimetry will be performed. We will measure fasting levels of lipids, triglycerides, and fatty acids. Glucose, insulin, leptin, adiponectin, ghrelin, cortisol, and melatonin will be measured at 0800h, 1200 h, 1600 h, 2000 h, and 0400 h. We will compare the effects of the eating conditions on weight, adiposity, energy metabolism, and hormonal markers. The study will be performed under free-living conditions to increase generalizability. The results obtained from this R21 funded project will establish feasibility for a larger R01 application. The project will benefit frm the expertise of the investigators in eating behaviors, sleep and circadian biology, and neuroendocrinology and metabolism, and has potentially broad clinical implications for promotion of healthy eating habits that could influence weight and metabolic health in the general population.",R21,DK,NIDDK,DK,National Institutes of Health (NIH),G,5,5,No,Awarded,8879128,R21DK100787,R21DK100787-02,100787,,,2015,2,23,,FALSE,TRUE,FALSE,,,,,,
49,Physical Activity to Improve CV Health in Older Women: A Pragmatic Trial -- DCC,"The number of Americans aged 65 and older is projected to double to 88.5 million by 2050 (55% women). The significant aging of the U.S. population creates a public health mandate to identify effective interventions for preserving the health and independence of older people, especially women. Compelling evidence over the past several decades supports the importance of physical activity (PA) for preventing cardiovascular (CV) and other chronic diseases, and preserving physical and cognitive health, in older adults. Yet, despite the steady emergence of evidence-based interventions for increasing PA in older adults, which could potentially be delivered at a population level, we lack large-scale randomized trial data showing that these interventions can prevent clinical CV events or impact the public's health. To address this critical gap, we propose to conduct a large-scale, randomized controlled pragmatic trial, the Women's Health Initiative Strong & Healthy (WHISH) trial. This pragmatic trial will be embedded in the large, race/ethnicity diverse, WHI Extension cohort, now aged 63-99 years, which is both novel and resource-efficient. The trial will test the hypothesis that a centralized public health intervention designed to increase and/or maintain PA to levels recommended for older U.S. adults will reduce major CV events (e.g., myocardial infarction (MI), stroke, and CVD death) in older women over ~4 years of follow-up. The study will also evaluate the safety of the intervention by examining risks of total clinical fracture, hi fracture, falls, and non-CVD mortality. Preliminary screening indicates that 50,500 WHI women will meet eligibility criteria; the PA intervention and ""usual activity"" comparison groups will eac contain ~25,250 participants (mean age ~80 years). We will use a randomized consent design, with the observational comparison group and non-consenters followed as usual within the WHI Extension study. The WHISH intervention builds upon evidence-based, state-of-the-science behavioral approaches and intervention components that have proven to be effective in increasing PA in older women, with innovative adaptive strategies to tailor the intervention. We will use an algorithm-driven interactive voice response (IVR) system, a technology of increasing familiarity to older adults, built to complement National Institute on Aging (NIA) Go4Life(R) Exercise & Physical Activity materials. The evidence-based IVR system provides tailored advice, with personalized feedback and a means for self-monitoring (logging activity) and personal goal setting. PA behavior will be monitored by self-reported questionnaire and an accelerometry substudy in both study groups. Based on observed rates in the WHI cohort, we project 80% power to detect a 12.5% effect size for major CV events over the follow-up period. The WHI infrastructure, combined with innovative, evidence-based methods to deliver the PA intervention at a population level, provides a unique opportunity to address the critical question, ""Can a public health PA intervention reduce CVD events in older women?"" Determining the answer to this question, using a resource-efficient, scalable intervention, has major public health significance.",U01,HL,NHLBI,HL,National Institutes of Health (NIH),G,5,1,No,Awarded,8814835,U01HL122273,U01HL122273-01A1,122273,A1,,2015,1,25,,FALSE,FALSE,TRUE,,,,,,
60,A Therapeutic Wearable Sensor for Dysphagia,": Of the 42 million individuals worldwide with Alzheimer's disease and related dementias (ADRD), 13% to 57% (5.5 to 24 million individuals) suffer dysphagia or swallowing problems. The sequelae of dysphagia in this vulnerable population include malnutrition, dehydration, and aspiration pneumonia. Since swallowing and breathing share a common anatomical pathway, precise coordination is critical. In normal individuals, swallowing occurs in a well-regulated period between mid-to-late respiratory expiration, which imparts airway protective benefits. In dysphagia, this respiratory-swallowing coordination is lost. Despite the high prevalence of dysphagia in individuals with dementia and the seriousness of the consequences, there are limited diagnostic and therapeutic modalities available. The current standard of care for dysphagia in ADRD is behavioral swallowing therapy with specially-trained speech-language pathologists. Specifically, our research team has recently pioneered a novel cross-system training approach with 4-8 in-clinic sessions that directly optimizes respiratory-swallow timing (RST) through visual biofeedback. However, this training must be done in-clinic and requires large, expensive, bulky, and multi-wired systems. Carry over of functional improvements is impeded by the absence in-home training. New technologies addressing dysphagia specifically ADRD requires significant user-centric design, straightforward operation that is deployable at home with minimal caretaker burden, and robustness. We have previously developed a soft, flexible, and fully wireless throat-deployed wearable sensor capable of continuously tracking respiration and swallowing. We propose adding a vibratory haptic motor to enable a home-based therapy that recapitulates RST therapy after therapist training. This new therapeutic wearable would vibrate gently to stimulate swallowing at home as a strengthening exercise whenever a minimum threshold of swallowing is not met. In addition, the device provides additional feedback that reinforces safe swallows personalized to the wearer's unique expiratory cadence. First, we will conduct focus groups to enable user-centric design. Then, we propose to validate this sensor in a small cohort of persons with mild AD (Clinician Dementia RatingTM≤1). Finally, we will evaluate acceptance of the sensor in a short home trial. This proposal aligns with NIA priorities for this RFA, which aims to develop assistive technologies that are innovative, efficacious, scalable, and low-cost",R41,AG,NIA,AG,National Institutes of Health (NIH),G,5,1,No,Awarded,9680570,R41AG062023,R41AG062023-01,62023,,,2018,1,34,Leonie,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
64,COVID-19 shutdown: impact of healthcare disruptions on cardiovascular health disparities among people with multiple chronic conditions in New York City.,"In the first half of 2020, the SARS-CoV-2 (COVID-19) pandemic infected nearly 4 million persons in the U.S. and caused over 150,000 deaths. In the midst of the early phase of this pandemic, people with multiple chronic conditions (MCC) including diabetes, hypertension, obesity, and dyslipidemia, which are increasingly common with age, were left extremely vulnerable to disruptions in healthcare delivery; in New York City (NYC), the first U.S. epicenter of the COVID-19 outbreak, traditional ambulatory care ceased entirely for several months and then reopened at only limited capacity. Implementation of telemedicine and modified in-person visits to bridge this gap was attempted but adopted unevenly, and differential uptake may have worsened existing health disparities. In this context, the unprecedented pandemic-disruption in ambulatory care in NYC provides a singular opportunity to study the long-term effects of disasters on health care systems serving health disparity populations. Our institution, NYU Grossman School of Medicine (NYUGSOM), is uniquely positioned to answer these questions, having been at the center of the COVID-19 pandemic in NYC. We have robust existing data partnerships with the INSIGHT Clinical Research Network, which includes a standardized electronic health record (EHR) network of 5 NYC academic medical centers, and with the NYC Health and Hospitals Corporation (NYC-H+H), the largest public hospital system in the U.S. We will leverage these 2 sources to determine, among people age ≥50 with MCCs (≥2 chronic medical conditions), whether patterns of health system engagement during the acute pandemic disruption phase (3/7/20-7/9/2020) influenced trajectories of 2 chronic diseases (hypertension and diabetes) at 2 years, risk of cardiovascular events at 4 years, and whether disparities in engagement exacerbated health inequities. In Aim 1 we will characterize ambulatory healthcare utilization and quantify disruptions in healthcare services (total disruption vs. delayed care vs. sufficient care) during the acute pandemic phase, overall and by subgroup (e.g. racial/ethnic minority, economically disadvantaged). In Aim 2 we will then assess the impact of total disruption and delayed care in healthcare on 2-year trajectories of chronic disease measures (mean systolic blood pressure, hemoglobin A1c), and in Aim 3 we will measure the impact of healthcare disruptions on major adverse cardiovascular outcomes in the 4 years after the acute pandemic period, and identify their impacts on disparities in CVD outcomes using causal mediation analysis methods. Our findings will guide future disaster preparedness planning and allow health care systems to develop optimal care models to mitigate CVD risk and avoid worsening disparities among socioeconomically disadvantaged and/or minority populations. The MPIs for this project (Dr. Dodson and Dr. Thorpe) combine research experience in cardiovascular medicine, gerontology, epidemiology, and data science, and are joined by Co-I's (Dr. Divers, Dr. Adhikari, Dr. Vedanthan, Dr. Blecker, Dr. Weiner) who bring expertise in health disparities research, implementation science, biostatistics, and use of EHRs.",R01,AG,NIA,AG,National Institutes of Health (NIH),G,5,1,Yes,Awarded,10436056,R01AG073321,R01AG073321-01A1,73321,A1,,2022,1,36,Audie,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
70,Online Prediction of Gait Related Trips Post-Stroke,"For individuals recovering from a stroke, injurious falls often occur due to a stumble, or ""intrinsically generated"" trip (i.e., the swinging foot contacts the ground), while walking. A major barrier toward developing effective fall prevention strategies is an inability to determine reliably, in advance, that a walking-related trip will occur. Swing limb motion, however, is dictated by late stance kinematics. Therefore, we propose to develop a novel inference system, based on stance phase kinematics, that can accurately and reliably predict, in real-time, that a trip is about to occur. Thus, if the foot is predicted to strike the ground, the algorithm will inform which steps require intervention in the swing limb's trajectory. Current approaches to fall prevention teach reactive responses to a trip or train individuals post-stroke to minimize the impairments associated with falls (e.g., strength, balance, ROM). Although preventive training can reduce intrinsically generated trips for otherwise healthy older adults, deficits in voluntary muscle activation limits the efficacy of such training in individuals post-stroke. Rather than using a conventional reactive approach, we intend to develop the preliminary tools needed to develop a proactive, integrated, feed-forward controller to inform future engineering approaches (e.g., a multi-channel electrical stimulator, exoskeleton/exosuit) to appropriately intervene in the swing limb's trajectory, only when necessary. The work proposed here is a necessary first step to determine that we can successfully predict trips accurately and with sufficient time to intervene appropriately. To accomplish this goal, we will pursue two Specific Aims. In Specific Aim 1, we will use non-environmental distractors to increase the likelihood of participants experiencing an intrinsically generated trip while walking on both a treadmill, as well as overground. We will then use the recorded limb kinematics to select a feature set for development of a novel inference prediction system. This algorithm will be evaluated offline to determine its accuracy and speed in classifying steps as either trips or non-trips. In Aim 2, we will evaluate the developed inference system in a real-time analysis of trip and non-trip steps during walking. Again, the online system will be evaluated for accuracy and speed during walking trials. At the conclusion of this project, we will have a robust method of detecting an upcoming trip for ""selective"" intervention in swing limb trajectory. This work promises to have a tremendous impact on the field of walking recovery post-stroke and for other populations at risk for trip related falls. In particular, successful completion of this project will establish a paradigm shift from reactive fall prevention to proactive trip and fall prevention.",R21,HD,NICHD,HD,National Institutes of Health (NIH),G,5,1,No,Awarded,9895282,R21HD098570,R21HD098570-01A1,98570,A1,,2019,1,39,Tom,FALSE,FALSE,TRUE,,,,,,
78,Effectiveness and implementation of text messaging to improve HIV testing in sexual and gender minority adolescents,"Adolescent sexual minority males, transgender girls, and gender diverse teens (ASMM/TGD; ages 13-18) are disproportionately affected by HIV, accounting for 79% of new infections among this age group. Although CDC and USPTF recommend HIV screening among teens, testing rates among ASMM/TGD are very low (1 in 4 ASMM; <1 in 10 TGD). Increasing HIV testing in ASMM/TGD is critical in mitigating transmission rates and in linkage to care for those who test positive. Despite this alarming public health issue, few developmentally tailored HIV prevention interventions exist for ASMM/TGD, and to date, no CDC best-evidence interventions for this group are focused on increasing HIV testing as a primary outcome. G2G was a 6-week text message-based HIV risk behavior reduction program originally designed for ASMM. Active treatment arm content focused on providing HIV prevention information, increasing HIV prevention motivation, and increasing HIV prevention self- efficacy relative to an information-only healthy lifestyle control arm. The G2G pilot RCT showed adolescents in the active treatment arm were >3x more likely to report being tested for HIV at follow-up versus those in the control arm, even though only a minority of messages focused on testing. We propose to update G2G with the latest HIV prevention and testing science, make content inclusive of TGD, and test its effectiveness on the outcome of validated HIV testing (e.g., photo of test result). Moreover, widespread adoption of digital HIV prevention programs has lagged due to lack of attention to implementation throughout software development, intervention design, and testing. For instance, who should implement digital HIV prevention/testing interventions for teens (e.g., direct-to-consumer, clinics) remains an open question, and involving potential implementers in the development process can ensure intervention success; best practices for updating content and technology for digital HIV prevention/testing programs to prevent their obsolescence are lacking; and there is a lack of consensus on how best to reach SGM adolescents for such programs. We propose a Hybrid Type 1 trial that will establish G2G effectiveness and identify best practices for implementing digital HIV prevention/testing for teens via three specific aims. In Aim 1 we will collaborate with a youth advisory council to add content reflecting our increased emphasis on HIV testing and update gender inclusivity and cultural relevance of existing content. With prospective implementers' input, we will also modernize the G2G software platform with an eye toward implementation. In Aim 2 we will test G2G effectiveness on HIV testing in a nationwide randomized controlled trial with 360 ASMM/TGD aged 13-18. Finally, Aim 3 will convene a experts in ASMM/TGD youth research and service provision to identify and achieve consensus in processes of, requirements for, and barriers/facilitators to reaching and engaging ASMM/TGD for HIV testing/prevention. The goal of Aim 3 is to inform, develop, and disseminate concrete tools to ensure HIV prevention programs reach ASMM/TGD. The panel will also recommend potential implementation models and adaptations needed to scale up G2G in real world settings.",R01,MH,NIMH,MH,National Institutes of Health (NIH),G,5,1,No,Awarded,10403150,R01MH129207,R01MH129207-01,129207,,,2022,1,43,Audie,TRUE,FALSE,TRUE,,,,,,
